batter,player_name,birth_date,bats,throws
668845,Aaron Schunk,1997-07-24,R,R
668853,Austin Shenton,1998-01-22,L,R
668885,Austin Martin,1999-03-23,R,R
668901,Mark Vientos,1999-12-11,R,R
668904,Royce Lewis,1999-06-05,R,R
668930,Brice Turang,1999-11-21,L,R
668939,Adley Rutschman,1998-02-06,S,R
668942,Josh Rojas,1994-06-30,L,R
668952,Ryan Kreidler,1997-11-12,R,R
668974,Maverick Handley,1998-03-10,R,R
669003,Garrett Mitchell,1998-09-04,L,R
669004,MJ Melendez,1998-11-29,L,R
669016,Brandon Marsh,1997-12-18,L,R
669023,Jeter Downs,1998-07-27,R,R
669065,Kyle Stowers,1998-01-02,L,L
669087,Sam Huff,1998-01-14,R,R
669127,Shea Langeliers,1997-11-18,R,R
669134,Luis Campusano,1998-09-29,R,R
669137,Armando Alvarez,1994-07-14,R,R
669194,Ryne Nelson,1998-02-01,R,R
669200,Mason McCoy,1995-03-31,R,R
669208,Ryan Bliss,1999-12-13,R,R
669221,Sean Murphy,1994-10-04,R,R
669222,Nick Senzel,1995-06-29,R,R
669224,Austin Wells,1999-07-12,L,R
669234,Justyn-Henry Malloy,2000-02-19,R,R
669236,Jeremiah Jackson,2000-03-26,R,R
669242,Tommy Edman,1995-05-09,S,R
669256,Nick Solak,1995-01-11,R,R
669257,Will Smith,1995-03-28,R,R
669261,Jack Suwinski,1998-07-29,L,L
669288,Daniel Johnson,1995-07-11,L,L
669289,Santiago Espinal,1994-11-13,R,R
669304,Jose F Miranda,1998-06-29,R,R
669326,Bryce Teodosio,1999-06-18,R,L
669352,Bubba Thompson,1998-06-09,R,R
669357,Nolan Gorman,2000-05-10,L,R
669360,Trei Cruz,1998-07-05,S,R
669364,Xavier Edwards,1999-08-09,S,R
669369,Bryce Johnson,1995-10-27,S,R
669374,Keston Hiura,1996-08-02,R,R
669384,Raynel Delgado,2000-04-04,L,R
669392,Samad Taylor,1998-07-11,R,R
669394,Jake Burger,1996-04-10,R,R
669397,Nick Allen,1998-10-08,R,R
669398,Gage Workman,1999-10-24,L,R
