model,outcome,season,player_id,player_name,prior_same_type_pitches,change_ci90_low,change_median,change_ci90_high
pooled_geometry,distortion,2025,642215,Weston Wilson,6,-0.14739138608350832,-0.045863898147564204,0.05858257998589993
pooled_geometry,distortion,2025,642215,Weston Wilson,7,-0.15750561312227696,-0.04901115044685802,0.0626026080909244
pooled_geometry,distortion,2025,642215,Weston Wilson,8,-0.16642699363460203,-0.05178722371698194,0.06614852418097202
pooled_geometry,distortion,2026,642215,Weston Wilson,0,-0.0,0.0,0.0
pooled_geometry,distortion,2026,642215,Weston Wilson,1,-0.047674364175172575,-0.008939276875285965,0.030937522745386668
pooled_geometry,distortion,2026,642215,Weston Wilson,2,-0.07556207946337264,-0.014168418630892049,0.049034813416645714
pooled_geometry,distortion,2026,642215,Weston Wilson,3,-0.09534872835034515,-0.01787855375057193,0.061875045490773335
pooled_geometry,distortion,2026,642215,Weston Wilson,4,-0.11069644558422477,-0.020756358124703396,0.0718347032487301
pooled_geometry,distortion,2026,642215,Weston Wilson,5,-0.1232364436385452,-0.023107695506178014,0.07997233616203238
pooled_geometry,distortion,2026,642215,Weston Wilson,6,-0.13383886092313746,-0.025095722935469772,0.08685260675553036
pooled_geometry,distortion,2026,642215,Weston Wilson,7,-0.14302309252551773,-0.026817830625857894,0.09281256823616
pooled_geometry,distortion,2026,642215,Weston Wilson,8,-0.15112415892674527,-0.028336837261784098,0.09806962683329143
pooled_geometry,distortion,2025,642350,Jose Siri,0,-0.0,-0.0,0.0
pooled_geometry,distortion,2025,642350,Jose Siri,1,-0.05699002836505831,-0.01955756128757722,0.017371771473168093
pooled_geometry,distortion,2025,642350,Jose Siri,2,-0.09032705787365246,-0.030998001246365668,0.02753360635606895
pooled_geometry,distortion,2025,642350,Jose Siri,3,-0.11398005673011662,-0.03911512257515444,0.034743542946336185
pooled_geometry,distortion,2025,642350,Jose Siri,4,-0.1323267479892566,-0.045411251021107005,0.040336004241511826
pooled_geometry,distortion,2025,642350,Jose Siri,5,-0.14731708623871076,-0.05055556253394289,0.04490537782923704
pooled_geometry,distortion,2025,642350,Jose Siri,6,-0.15999123663884893,-0.05490501594412316,0.04876872815005833
pooled_geometry,distortion,2025,642350,Jose Siri,7,-0.17097008509517492,-0.05867268386273165,0.05211531441950429
pooled_geometry,distortion,2025,642350,Jose Siri,8,-0.18065411574730492,-0.061996002492731336,0.0550672127121379
pooled_geometry,distortion,2026,642350,Jose Siri,0,-0.0,0.0,0.0
pooled_geometry,distortion,2026,642350,Jose Siri,1,-0.03885929766942185,-0.00217938976641612,0.037317238108608215
pooled_geometry,distortion,2026,642350,Jose Siri,2,-0.06159052961039467,-0.003454251054224991,0.059146423032626516
pooled_geometry,distortion,2026,642350,Jose Siri,3,-0.0777185953388437,-0.00435877953283224,0.07463447621721643
pooled_geometry,distortion,2026,642350,Jose Siri,4,-0.0902284950062216,-0.005060386328351596,0.08664794358797875
pooled_geometry,distortion,2026,642350,Jose Siri,5,-0.10044982727981651,-0.005633640820641111,0.09646366114123472
pooled_geometry,distortion,2026,642350,Jose Siri,6,-0.10909184057995303,-0.006118320587830267,0.10476273208179687
pooled_geometry,distortion,2026,642350,Jose Siri,7,-0.11657789300826554,-0.00653816929924836,0.11195171432582465
pooled_geometry,distortion,2026,642350,Jose Siri,8,-0.12318105922078934,-0.006908502108449982,0.11829284606525303
pooled_geometry,distortion,2025,642708,Amed Rosario,0,0.0,-0.0,0.0
pooled_geometry,distortion,2025,642708,Amed Rosario,1,-0.052310147823265235,-0.01642571316695867,0.02028978316462848
pooled_geometry,distortion,2025,642708,Amed Rosario,2,-0.08290962270705582,-0.02603413941723124,0.032158545463699575
pooled_geometry,distortion,2025,642708,Amed Rosario,3,-0.10462029564653047,-0.03285142633391734,0.04057956632925696
pooled_geometry,distortion,2025,642708,Amed Rosario,4,-0.12146040187855056,-0.038139324880922615,0.04711141756912348
pooled_geometry,distortion,2025,642708,Amed Rosario,5,-0.13521977053032105,-0.04245985258418991,0.05244832862832805
pooled_geometry,distortion,2025,642708,Amed Rosario,6,-0.14685315096520452,-0.04611280670756782,0.05696062263470127
pooled_geometry,distortion,2025,642708,Amed Rosario,7,-0.1569304434697957,-0.04927713950087601,0.060869349493885436
pooled_geometry,distortion,2025,642708,Amed Rosario,8,-0.16581924541411164,-0.05206827883446248,0.06431709092739915
pooled_geometry,distortion,2026,642708,Amed Rosario,0,-0.0,-0.0,0.0
pooled_geometry,distortion,2026,642708,Amed Rosario,1,-0.06252203850528583,-0.0201474644560541,0.018265004537361573
pooled_geometry,distortion,2026,642708,Amed Rosario,2,-0.09909508649952226,-0.03193297564745812,0.02894934726721986
