scenario,replicate,n_players,coverage90,coverage50,rmse,unpooled_rmse,mean_bias,rank_spearman,mu_mean,mu90_low,mu90_high,tau_mean,true_mu,true_tau,mu_interval_excludes_zero,first_stage_coverage90,missing_fraction,median_observed,median_clusters
zero_learning,9,30,0.9333333333333333,0.13333333333333333,0.02460919138684036,0.07697973022083722,-0.023259007203010988,,-0.02331845142433805,-0.04351978099578172,-0.004004857009174791,0.022165612512903533,0.0,0.0,True,0.8666666666666667,0.15520475148483903,144.5,29.5
zero_learning,10,30,1.0,0.9333333333333333,0.008285645187235789,0.06069613915348645,-0.0041421489219936524,,-0.004069250942186454,-0.022839019844907132,0.013554408455673135,0.02000300660488732,0.0,0.0,False,0.9,0.1691636363636364,190.5,37.0
zero_learning,11,30,1.0,1.0,0.005989281759197117,0.06159062126247642,-0.003450897580539242,,-0.003514035693909259,-0.0232227593058655,0.014824778428498305,0.016439945975163663,0.0,0.0,False,0.9,0.15551889622075588,189.5,36.5
zero_learning,12,30,1.0,0.8333333333333334,0.014848725407149417,0.06751878422460707,-0.00514734016233764,,-0.004861306909221428,-0.025778159543516633,0.015199231720858677,0.02968506514089258,0.0,0.0,False,0.8666666666666667,0.16103936517815465,176.0,34.0
zero_learning,13,30,1.0,0.9,0.01233950843085624,0.08150379948365068,-0.0018935830212428143,,-0.0018839939475200648,-0.02070048950024375,0.01675380523883725,0.027692851301967834,0.0,0.0,False,0.8666666666666667,0.16421645292461684,165.0,30.5
zero_learning,14,30,0.9666666666666667,0.2,0.020272633974224956,0.06850189851861019,-0.017371793319235714,,-0.017283930398609974,-0.036360608844938615,0.0017959454662594646,0.025712131266213013,0.0,0.0,False,0.9,0.15721844293272869,181.0,35.5
zero_learning,15,30,0.9333333333333333,0.6333333333333333,0.033530444626956174,0.07288659891162284,-0.0013007859487556403,,-0.0014164829092849498,-0.025810390759727114,0.023165880598599208,0.05406043538971844,0.0,0.0,False,0.8,0.16335174953959486,138.0,28.5
zero_learning,16,30,1.0,0.23333333333333334,0.015225838725021338,0.06270209009853342,-0.014683193592186557,,-0.014801687023968932,-0.03329678513912643,0.004322070139351311,0.01549658629588061,0.0,0.0,False,0.9666666666666667,0.17015657423127717,141.0,28.0
zero_learning,17,30,1.0,1.0,0.0028742464417071296,0.051567019349283164,0.0005880874563780854,,0.0005180549589420048,-0.018648240073165307,0.019103590976545095,0.0136474763361291,0.0,0.0,False,0.9666666666666667,0.1641815235008104,144.0,28.5
zero_learning,18,30,0.9666666666666667,0.5333333333333333,0.03522755810167735,0.08484519997000678,0.009571932922996986,,0.009013010317167102,-0.015887405242985802,0.03533740383548428,0.05522556376962473,0.0,0.0,False,0.7333333333333333,0.15862771739130432,154.0,30.5
zero_learning,19,30,1.0,0.5666666666666667,0.013190181413290578,0.07735767570946793,-0.011109794392720973,,-0.011037771852872594,-0.028691803104917292,0.0074220937854284404,0.01947265530040997,0.0,0.0,False,0.8333333333333334,0.1663631849031617,156.0,31.5
zero_learning,20,30,1.0,0.8666666666666667,0.010396393574007023,0.06165044811245969,-0.005324348458846079,,-0.005155501870552474,-0.02407205300726431,0.014566798907421956,0.02357679150394008,0.0,0.0,False,0.8666666666666667,0.15954102483495758,134.5,27.0
zero_learning,21,30,0.8666666666666667,0.26666666666666666,0.0327648520096106,0.07477253688843977,0.02843172790636442,,0.028266468953574705,0.005748654052296337,0.049649618801142124,0.03283197637577428,0.0,0.0,True,0.8,0.1692934782608696,204.0,41.0
zero_learning,22,30,1.0,0.5333333333333333,0.03107613880604272,0.09297089440285247,0.013511112097089422,,0.013833423234919784,-0.012795355239615376,0.03958672520975652,0.04844896482956997,0.0,0.0,False,0.8,0.16824133930051388,130.0,25.5
zero_learning,23,30,1.0,0.5666666666666667,0.01360711748558171,0.06409642699377571,0.012564138671707525,,0.012541305060114282,-0.005485800936378943,0.030664433490330427,0.017724661032652023,0.0,0.0,False,0.8666666666666667,0.16398662633338645,154.0,32.5
